Sample_Name,Batch,Top5_LabID,Weight..gram.,gDNA.Concentration..ng.ul.,qpcr_nM,CollDate,Latitude,Longitude,pH,Clay,Sand,Silt,temp_mean,precipitation_mean,KG_Main,KG_Sub,KG_TempType,KG_Main_Sub,KG_MST,trnl_raw_rc,its2_raw_rc,trnl_nonchim,its2_nonchim
Sample144,4,C-349855,102,55,340.91,6/23/10,39.6019,-81.795,5.5,37.2,53.4,9.3,11.06024774,86.73060269,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,76534,71277,58607,35133
Sample145,4,C-349882,113,20,97.19,7/3/10,40.6827,-80.7707,4.5,17.1,54.3,28.6,10.21001991,81.17674171,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,160545,37325,144422,20851
Sample146,4,C-349887,109,41.4,151.95,6/19/10,39.3409,-83.7015,6.3,22.6,57.8,10,11.08321999,86.42025548,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,164591,136310,142196,79912
Sample147,4,C-349912,111,49.5,150.88,6/21/10,39.1618,-83.1032,5,32.2,46.2,21.6,11.42842273,86.28996108,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,147914,90712,115176,59763
Sample148,4,C-350302,116,49.3,176.23,6/15/10,37.8528,-86.1313,5.3,32.1,59.8,8,13.27720898,98.95114743,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,58547,57223,52578,41395
Sample149,4,C-350312,105,51,91.65,6/13/10,37.0186,-88.8423,5.5,18,77.2,4.8,14.43831738,103.7116168,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,112783,91728,95100,52298
Sample150,4,C-350334,100,53,141.61,6/5/10,37.3973,-84.0038,4.6,21.4,52.8,25.7,11.76831165,105.9158055,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,111737,58551,92045,34975
Sample151,4,C-350588,105,16.3,40.14,5/25/10,38.7947,-77.5736,5.6,2,36,62,12.86434503,87.69386378,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,210456,78829,187795,36613
Sample152,4,C-350609,94,39.6,84.12,5/28/10,37.8662,-79.1468,5.2,23.1,47.2,29.7,10.60688939,105.3467669,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,131533,121399,108964,60878
Sample153,4,C-350611,100,48.8,99,5/26/10,38.6218,-78.4899,5,32.1,47,20.9,12.49365617,79.97011675,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,68350,32124,60095,16266
